locus	primary_accession	accession_version	isolate
QHZ87583	QHZ87583	QHZ87583.1	2019-nCoV/USA-IL2/2020
QHZ87582	QHZ87582	QHZ87582.1	2019-nCoV/USA-IL2/2020
QHZ87581	QHZ87581	QHZ87581.1	2019-nCoV/USA-IL2/2020
QHZ87580	QHZ87580	QHZ87580.1	SARS-CoV-2/Tongji-06/human/2020/Wuhan
QHZ87579	QHZ87579	QHZ87579.1	SARS-CoV-2/Tongji-05/human/2020/Wuhan
QHZ87578	QHZ87578	QHZ87578.1	SARS-CoV-2/Tongji-04/human/2020/Wuhan
QHZ87577	QHZ87577	QHZ87577.1	SARS-CoV-2/Tongji-03/human/2020/Wuhan
QHZ87576	QHZ87576	QHZ87576.1	SARS-CoV-2/Tongji-02/human/2020/Wuhan
QHZ87575	QHZ87575	QHZ87575.1	SARS-CoV-2/Tongji-01/human/2020/CHN
QHZ00407	QHZ00407	QHZ00407.1	2019-nCoV/USA-MA1/2020
QHZ00406	QHZ00406	QHZ00406.1	2019-nCoV/USA-MA1/2020
QHZ00405	QHZ00405	QHZ00405.1	2019-nCoV/USA-MA1/2020
QHZ00404	QHZ00404	QHZ00404.1	2019-nCoV/USA-MA1/2020
QHZ00403	QHZ00403	QHZ00403.1	2019-nCoV/USA-MA1/2020
QHZ00402	QHZ00402	QHZ00402.1	2019-nCoV/USA-MA1/2020
QHZ00401	QHZ00401	QHZ00401.1	2019-nCoV/USA-MA1/2020
QHZ00400	QHZ00400	QHZ00400.1	2019-nCoV/USA-MA1/2020
QHZ00399	QHZ00399	QHZ00399.1	2019-nCoV/USA-MA1/2020
QHZ00398	QHZ00398	QHZ00398.1	2019-nCoV/USA-MA1/2020
QHZ00397	QHZ00397	QHZ00397.1	2019-nCoV/USA-WI1/2020
QHZ00396	QHZ00396	QHZ00396.1	2019-nCoV/USA-WI1/2020
QHZ00395	QHZ00395	QHZ00395.1	2019-nCoV/USA-WI1/2020
QHZ00394	QHZ00394	QHZ00394.1	2019-nCoV/USA-WI1/2020
QHZ00393	QHZ00393	QHZ00393.1	2019-nCoV/USA-WI1/2020
QHZ00392	QHZ00392	QHZ00392.1	2019-nCoV/USA-WI1/2020
QHZ00391	QHZ00391	QHZ00391.1	2019-nCoV/USA-WI1/2020
